"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY ENERGY","36,215.25","36,496.20","36,077.90","36,230.35","36,451.70","-","221.35","0.61","31,15,84,614","9,405.71","36,938.90","29,313.20","1.68","9.32"
"POWERINDIA","20,900.00","22,077.00","20,556.00","19,199.00","21,850.00","-","2,651.00","13.81","9,93,958","2,146.37","22,840.00","10,300.00","16.04","83.40"
"MGL","1,068.00","1,165.00","1,066.30","1,071.50","1,138.90","-","67.40","6.29","12,12,302","136.59","1,586.90","1,018.60","7.28","-14.53"
"ENRIN","2,601.90","2,749.90","2,591.60","2,598.90","2,742.50","-","143.60","5.53","10,91,498","295.25","3,625.00","2,115.00","4.52","-"
"GSPL","299.90","307.20","298.00","299.90","305.90","-","6.00","2.00","6,77,322","20.64","360.60","261.45","-4.09","-10.68"
"GAIL","160.00","163.62","159.03","160.18","163.20","-","3.02","1.89","1,50,57,595","243.06","202.79","150.52","-3.78","-9.20"
"IGL","173.10","176.25","171.85","173.22","176.23","-","3.01","1.74","18,20,613","31.77","229.00","170.12","-7.56","-14.08"
"POWERGRID","292.20","293.50","289.40","289.35","292.80","-","3.45","1.19","1,99,51,107","582.57","322.00","247.30","9.01","2.65"
"CGPOWER","669.90","676.00","663.30","668.00","673.85","-","5.85","0.88","27,21,504","182.55","797.55","517.70","5.80","7.19"
"HINDPETRO","460.65","467.90","459.65","458.85","462.50","-","3.65","0.80","47,02,809","218.28","508.45","287.55","-3.98","35.07"
"JPPOWER","15.00","15.20","14.62","14.98","15.10","-","0.12","0.80","3,45,16,162","51.43","27.70","12.36","-13.39","0.40"
"TORNTPOWER","1,416.60","1,437.60","1,397.50","1,417.60","1,427.00","-","9.40","0.66","5,19,206","73.66","1,640.00","1,188.00","1.42","7.15"
"BPCL","382.50","386.90","381.35","382.05","384.55","-","2.50","0.65","79,88,984","307.36","391.65","234.01","4.19","47.89"
"GUJGASLTD","420.10","435.30","419.60","421.35","424.00","-","2.65","0.63","6,20,073","26.48","508.70","360.25","-2.81","-11.03"
"GVT&D","3,507.30","3,634.90","3,450.00","3,513.50","3,535.00","-","21.50","0.61","8,44,629","299.70","3,819.00","1,254.00","15.29","107.70"
"RELIANCE","1,441.50","1,452.80","1,433.50","1,443.40","1,451.00","-","7.60","0.53","82,77,304","1,194.23","1,611.80","1,114.85","-3.77","13.50"
"ABB","5,769.00","5,845.00","5,726.50","5,770.00","5,800.00","-","30.00","0.52","3,04,093","176.38","6,260.00","4,637.50","11.32","1.24"
"AEGISLOG","687.05","697.55","684.20","687.05","690.00","-","2.95","0.43","1,32,218","9.12","946.50","639.10","-7.43","-13.09"
"SUZLON","47.85","48.20","47.25","47.85","48.05","-","0.20","0.42","5,79,60,744","276.70","74.30","44.88","-10.12","-14.06"
"ADANIENSOL","1,010.40","1,025.95","1,001.50","1,011.45","1,014.95","-","3.50","0.35","18,11,726","183.57","1,067.70","639.45","-2.53","31.23"
"TATAPOWER","364.40","366.55","361.00","364.50","365.40","-","0.90","0.25","22,45,318","81.61","416.80","326.35","-5.32","-0.07"
"SJVN","72.00","72.54","71.70","72.19","72.30","-","0.11","0.15","31,06,246","22.42","107.50","68.13","-14.34","-25.06"
"ADANIGREEN","966.00","974.95","954.25","967.15","968.00","-","0.85","0.09","16,08,144","155.02","1,177.55","758.00","-4.66","-4.51"
"COALINDIA","430.55","434.20","427.05","431.85","432.00","-","0.15","0.03","47,38,027","203.86","461.55","349.25","1.35","13.05"
"NTPC","361.80","365.95","361.00","367.00","363.70","-","-0.55","-0.15","73,28,789","266.19","371.45","292.80","4.06","14.22"
"CASTROLIND","185.61","186.47","184.10","185.61","185.29","-","-0.32","-0.17","27,45,718","50.85","251.95","180.66","-2.71","-4.54"
"RPOWER","27.85","28.09","27.30","28.12","28.05","-","-0.07","-0.25","3,62,74,661","100.26","76.49","25.92","-20.40","-29.91"
"ONGC","268.00","269.95","264.70","269.20","268.40","-","-0.80","-0.30","1,00,13,728","267.91","277.77","205.00","11.19","2.79"
"CESC","153.85","155.83","150.78","154.38","153.80","-","-0.58","-0.38","27,10,135","41.45","185.26","119.00","-9.87","10.35"
"JSWENERGY","471.55","474.25","465.35","473.95","472.00","-","-1.95","-0.41","9,02,590","42.47","579.00","418.75","-8.10","-4.18"
"IOC","176.99","180.90","173.28","175.77","174.90","-","-0.87","-0.49","3,42,40,417","604.07","180.90","110.72","6.83","38.57"
"OIL","495.60","503.65","491.00","498.50","495.00","-","-3.50","-0.70","46,93,599","233.18","524.00","325.00","16.85","15.21"
"NHPC","80.00","80.40","78.56","80.00","79.40","-","-0.60","-0.75","90,48,503","71.66","92.34","71.00","-4.91","-0.13"
"PETRONET","298.00","298.10","293.90","298.85","296.60","-","-2.25","-0.75","16,16,121","47.76","326.50","263.50","0.19","-6.82"
"ADANIPOWER","152.00","154.11","150.00","153.45","152.25","-","-1.20","-0.78","1,73,34,858","264.60","182.70","92.40","3.52","-69.78"
"INOXWIND","106.01","106.76","103.22","107.05","106.20","-","-0.85","-0.79","58,42,537","61.23","199.01","101.26","-13.19","-37.54"
"ATGL","545.00","552.25","540.25","545.40","540.30","-","-5.10","-0.94","3,60,154","19.61","798.00","507.05","-4.71","-15.18"
"BHEL","268.20","269.15","263.10","268.90","266.00","-","-2.90","-1.08","35,49,301","94.31","305.90","176.00","-10.22","27.55"
"NLCINDIA","258.55","261.60","253.20","259.75","256.70","-","-3.05","-1.17","11,03,806","28.27","292.20","186.03","-6.51","14.59"
"THERMAX","2,908.50","2,915.00","2,847.00","2,908.50","2,870.00","-","-38.50","-1.32","67,047","19.24","4,091.80","2,742.70","-6.96","-14.12"
"SIEMENS","3,288.00","3,324.40","3,132.00","3,300.00","3,139.00","-","-161.00","-4.88","8,51,068","274.04","5,707.70","2,450.00","1.54","-43.08"
