"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INFRASTRUCTURE","9,486.15","9,548.40","9,453.15","9,502.40","9,541.00","-","38.60","0.41","23,75,80,703","11,394.17","9,792.60","7,589.95","-0.73","14.71"
"GAIL","160.00","163.62","159.03","160.18","163.20","-","3.02","1.89","1,50,57,595","243.06","202.79","150.52","-3.78","-9.20"
"BHARTIARTL","1,994.00","2,049.70","1,988.50","1,992.40","2,023.00","-","30.60","1.54","1,38,70,403","2,803.58","2,174.50","1,559.50","-3.18","22.76"
"POWERGRID","292.20","293.50","289.40","289.35","292.80","-","3.45","1.19","1,99,51,107","582.57","322.00","247.30","9.01","2.65"
"CGPOWER","669.90","676.00","663.30","668.00","673.85","-","5.85","0.88","27,21,504","182.55","797.55","517.70","5.80","7.19"
"HINDPETRO","460.65","467.90","459.65","458.85","462.50","-","3.65","0.80","47,02,809","218.28","508.45","287.55","-3.98","35.07"
"BPCL","382.50","386.90","381.35","382.05","384.55","-","2.50","0.65","79,88,984","307.36","391.65","234.01","4.19","47.89"
"RELIANCE","1,441.50","1,452.80","1,433.50","1,443.40","1,451.00","-","7.60","0.53","82,77,304","1,194.23","1,611.80","1,114.85","-3.77","13.50"
"SHREECEM","27,270.00","27,430.00","27,040.00","27,225.00","27,350.00","-","125.00","0.46","14,772","40.25","32,490.00","25,360.00","-1.23","-3.77"
"SUZLON","47.85","48.20","47.25","47.85","48.05","-","0.20","0.42","5,79,60,744","276.70","74.30","44.88","-10.12","-14.06"
"GODREJPROP","1,695.00","1,727.80","1,644.20","1,689.80","1,695.70","-","5.90","0.35","14,46,287","243.48","2,522.00","1,475.00","-20.12","-26.14"
"TATAPOWER","364.40","366.55","361.00","364.50","365.40","-","0.90","0.25","22,45,318","81.61","416.80","326.35","-5.32","-0.07"
"APOLLOHOSP","7,080.00","7,176.50","6,994.00","7,122.00","7,128.50","-","6.50","0.09","6,68,962","474.55","8,099.50","6,001.00","-2.66","2.99"
"ADANIGREEN","966.00","974.95","954.25","967.15","968.00","-","0.85","0.09","16,08,144","155.02","1,177.55","758.00","-4.66","-4.51"
"LT","4,055.00","4,078.00","4,042.30","4,063.30","4,065.40","-","2.10","0.05","16,30,836","662.54","4,195.00","2,965.30","-1.75","20.24"
"DLF","660.85","665.65","649.30","661.30","661.50","-","0.20","0.03","26,87,146","177.16","886.80","586.65","-6.02","-13.05"
"MAXHEALTH","1,042.70","1,042.70","1,008.00","1,040.80","1,040.00","-","-0.80","-0.08","33,84,955","348.35","1,314.30","933.80","-1.12","-11.10"
"ASHOKLEY","201.50","203.00","199.26","201.50","201.33","-","-0.17","-0.08","95,80,410","192.37","205.19","95.93","8.43","-4.35"
"INDUSTOWER","442.55","447.55","432.85","442.40","441.95","-","-0.45","-0.10","53,13,719","233.73","454.95","312.55","2.57","23.82"
"NTPC","361.80","365.95","361.00","367.00","363.70","-","-0.55","-0.15","73,28,789","266.19","371.45","292.80","4.06","14.22"
"ONGC","268.00","269.95","264.70","269.20","268.40","-","-0.80","-0.30","1,00,13,728","267.91","277.77","205.00","11.19","2.79"
"ULTRACEMCO","12,725.00","12,775.00","12,622.00","12,773.00","12,733.00","-","-40.00","-0.31","1,24,704","158.33","13,097.00","10,047.85","4.24","9.81"
"IOC","176.99","180.90","173.28","175.77","174.90","-","-0.87","-0.49","3,42,40,417","604.07","180.90","110.72","6.83","38.57"
"INDIGO","4,911.00","4,931.30","4,870.00","4,932.20","4,901.20","-","-31.00","-0.63","4,63,970","227.35","6,232.50","4,157.85","-1.86","11.19"
"CUMMINSIND","4,319.10","4,384.40","4,231.70","4,391.40","4,362.00","-","-29.40","-0.67","5,75,249","248.02","4,615.00","2,580.00","5.76","49.54"
"GRASIM","2,864.00","2,879.00","2,820.70","2,863.90","2,844.60","-","-19.30","-0.67","3,61,882","102.94","2,977.80","2,301.65","-0.99","13.93"
"AMBUJACEM","530.00","531.55","524.00","533.05","528.00","-","-5.05","-0.95","5,54,714","29.24","624.95","455.00","-6.05","1.47"
"INDHOTEL","687.55","688.95","675.30","689.15","681.00","-","-8.15","-1.18","9,16,019","62.39","858.00","627.20","-5.95","-16.26"
"ADANIPORTS","1,563.00","1,575.50","1,527.00","1,570.20","1,549.50","-","-20.70","-1.32","44,29,173","690.53","1,577.70","1,036.50","5.26","35.51"
"BHARATFORG","1,573.20","1,573.70","1,541.40","1,573.20","1,551.20","-","-22.00","-1.40","6,38,178","99.04","1,599.00","919.10","5.61","34.67"
"MOTHERSON","119.00","119.63","116.05","120.99","118.06","-","-2.93","-2.42","1,88,22,881","220.77","125.49","71.50","-2.26","-13.66"
