"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MICROCAP 250","21,793.60","21,801.80","21,518.70","21,849.00","21,676.00","-","-173.00","-0.79","26,64,19,687","5,321.55","26,476.90","8,567.20","-4.54","-6.16"
"SENCO","311.55","338.10","304.50","313.10","334.50","-","21.40","6.83","39,20,068","127.28","546.65","227.40","2.91","-36.65"
"WELENT","470.55","506.70","470.55","470.55","500.20","-","29.65","6.30","4,27,282","21.10","594.15","400.05","0.43","-13.06"
"IFBIND","1,112.20","1,189.70","1,105.80","1,116.30","1,182.00","-","65.70","5.89","1,17,344","13.61","2,019.80","1,058.50","-23.64","-14.79"
"JKIL","544.90","575.60","543.20","545.45","575.60","-","30.15","5.53","1,83,530","10.29","776.35","529.00","-3.67","-23.00"
"EMBDL","65.00","68.02","64.30","64.79","68.02","-","3.23","4.99","15,12,793","10.07","156.90","55.69","9.04","-54.83"
"VESUVIUS","486.60","513.80","476.55","488.70","509.00","-","20.30","4.15","1,08,284","5.42","646.00","356.13","5.95","-88.54"
"VSTIND","229.00","242.99","226.05","229.06","236.95","-","7.89","3.44","41,29,134","98.04","338.90","223.80","-5.43","-26.67"
"THANGAMAYL","3,196.00","3,492.00","3,182.80","3,175.50","3,280.00","-","104.50","3.29","2,16,907","73.07","4,149.00","1,523.10","-2.49","64.71"
"GMRP&UI","107.00","110.50","103.82","106.46","109.75","-","3.29","3.09","24,95,409","26.83","141.01","89.36","1.19","4.32"
"GPPL","169.20","175.15","167.91","169.74","174.79","-","5.05","2.98","19,26,330","33.27","200.09","122.50","-7.85","15.52"
"SHARDACROP","1,151.10","1,208.00","1,144.50","1,162.70","1,189.20","-","32.50","2.81","7,21,027","85.30","1,208.00","452.25","43.58","113.02"
"GRWRHITECH","4,148.00","4,335.90","4,069.00","4,152.20","4,260.00","-","107.80","2.60","1,70,101","71.58","4,782.90","2,317.35","34.37","11.42"
"WABAG","1,212.40","1,248.00","1,190.10","1,186.00","1,214.90","-","28.90","2.44","10,43,923","127.42","1,680.00","1,033.00","0.44","-12.88"
"JSFB","347.00","356.40","338.90","346.10","354.00","-","7.90","2.28","2,48,680","8.64","552.50","338.90","-16.17","-23.04"
"IXIGO","208.49","217.00","208.00","207.46","212.10","-","4.64","2.24","17,28,989","36.97","339.15","117.00","-9.28","34.88"
"ASHOKA","152.10","159.03","149.49","152.68","156.10","-","3.42","2.24","11,29,502","17.29","252.75","139.52","-6.44","-37.14"
"DATAMATICS","769.90","785.90","758.05","769.20","785.90","-","16.70","2.17","1,13,418","8.78","1,120.00","522.00","-0.54","13.58"
"GATEWAY","60.00","61.55","59.35","60.18","61.45","-","1.27","2.11","15,17,089","9.17","77.00","55.28","2.32","-20.07"
"BALAMINES","1,104.90","1,133.00","1,090.70","1,105.20","1,127.10","-","21.90","1.98","1,48,701","16.61","1,945.00","1,060.10","4.97","-35.20"
"CEIGALL","288.95","295.00","285.05","288.40","294.00","-","5.60","1.94","16,07,320","46.74","301.15","222.61","6.59","-0.68"
"SKYGOLD","311.00","323.00","304.45","313.65","319.00","-","5.35","1.71","5,23,332","16.43","402.85","246.05","-4.14","-16.52"
"BLACKBUCK","608.75","632.00","604.20","606.40","616.20","-","9.80","1.62","15,69,526","97.15","748.00","373.20","-8.90","40.44"
"AURIONPRO","907.05","941.00","890.20","907.95","922.05","-","14.10","1.55","2,09,681","19.22","1,665.90","881.70","-15.60","-39.72"
"KRBL","354.45","368.00","348.30","355.80","361.15","-","5.35","1.50","4,74,316","17.05","495.00","241.25","-5.66","28.09"
"ANUP","1,910.00","1,973.40","1,876.00","1,900.40","1,927.20","-","26.80","1.41","26,606","5.15","3,633.05","1,700.00","-13.96","-31.72"
