"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 100","58,410.35","58,416.20","57,048.90","58,191.30","57,145.65","-","-1,045.65","-1.80","1,11,92,37,834","21,689.45","61,548.85","46,865.70","-6.04","7.59"
"NATIONALUM","366.85","382.65","365.40","364.60","371.50","-","6.90","1.89","2,29,54,119","863.67","382.65","137.75","27.74","82.19"
"VOLTAS","1,298.00","1,363.00","1,295.00","1,293.50","1,315.40","-","21.90","1.69","16,39,531","218.78","1,531.95","1,135.00","-5.07","-11.54"
"ASHOKLEY","192.00","199.21","190.00","190.28","193.07","-","2.79","1.47","3,24,67,563","635.10","199.21","95.93","8.44","-6.69"
"APLAPOLLO","2,000.00","2,070.60","1,991.60","1,976.00","1,997.80","-","21.80","1.10","21,86,960","444.80","2,070.60","1,272.70","7.08","28.25"
"BLUESTARCO","1,709.30","1,745.00","1,690.60","1,709.30","1,721.10","-","11.80","0.69","3,46,663","59.48","2,269.80","1,521.00","-3.87","-9.65"
"VMM","123.56","125.20","122.50","124.22","125.01","-","0.79","0.64","54,64,470","68.02","157.60","95.99","-8.92","18.67"
"TATATECH","653.00","663.95","649.10","652.15","656.00","-","3.85","0.59","11,75,442","77.25","818.50","597.00","-0.87","-17.69"
"360ONE","1,109.90","1,134.10","1,100.20","1,106.30","1,112.60","-","6.30","0.57","14,76,232","165.21","1,273.80","790.50","-5.87","-3.19"
"OFSS","7,882.50","8,044.00","7,845.00","7,897.00","7,940.00","-","43.00","0.54","1,74,884","139.56","10,230.00","7,038.00","1.78","-17.07"
"FORTIS","851.95","864.45","839.30","841.45","845.95","-","4.50","0.53","23,32,499","198.99","1,104.30","577.00","-6.39","34.05"
"SUPREMEIND","3,487.10","3,510.00","3,438.60","3,487.80","3,497.00","-","9.20","0.26","3,60,984","126.08","4,739.00","3,095.00","4.11","-10.18"
"PIIND","3,170.00","3,190.80","3,144.20","3,170.40","3,178.60","-","8.20","0.26","1,72,534","54.77","4,330.00","2,951.10","-1.95","-9.29"
"KPITTECH","1,114.00","1,123.00","1,097.00","1,109.20","1,111.90","-","2.70","0.24","7,49,846","83.50","1,479.00","1,020.60","-9.40","-13.95"
"PAGEIND","33,000.00","33,000.00","32,480.00","32,875.00","32,945.00","-","70.00","0.21","25,720","84.21","50,590.00","31,740.00","-10.41","-28.64"
"TATACOMM","1,556.00","1,584.00","1,541.00","1,547.90","1,550.00","-","2.10","0.14","6,17,465","96.51","2,004.00","1,291.00","-13.02","-7.02"
"M&MFIN","362.20","368.75","357.45","360.45","360.80","-","0.35","0.10","22,49,442","81.87","412.20","231.02","485.47","7.18"
"UPL","701.00","711.50","697.65","700.50","700.20","-","-0.30","-0.04","38,08,963","268.37","812.20","531.60","-10.04","29.45"
"LTF","289.00","295.30","285.30","287.30","287.00","-","-0.30","-0.10","65,02,459","189.56","329.45","131.05","-5.11","106.64"
"OIL","437.00","440.50","427.10","436.45","436.00","-","-0.45","-0.10","18,88,918","82.30","491.50","325.00","6.20","-4.10"
"POLICYBZR","1,714.60","1,722.00","1,632.10","1,714.60","1,712.00","-","-2.60","-0.15","14,52,236","242.79","1,978.00","1,311.35","-12.54","3.92"
"ALKEM","5,785.00","5,811.50","5,724.00","5,758.50","5,749.00","-","-9.50","-0.16","77,302","44.66","5,933.50","4,491.65","2.74","11.63"
"INDUSINDBK","900.05","914.60","888.25","902.45","898.00","-","-4.45","-0.49","59,07,525","535.03","1,086.55","606.00","5.01","-8.08"
"SRF","2,757.00","2,757.00","2,701.00","2,735.90","2,722.00","-","-13.90","-0.51","4,06,215","110.33","3,325.00","2,487.00","-12.79","7.55"
"BHARTIHEXA","1,619.80","1,624.50","1,591.00","1,624.60","1,615.00","-","-9.60","-0.59","81,756","13.17","2,052.90","1,234.00","-10.61","27.31"
"COCHINSHIP","1,499.00","1,504.00","1,474.00","1,498.20","1,488.90","-","-9.30","-0.62","4,44,823","66.09","2,545.00","1,180.20","-9.62","1.80"
"KEI","3,859.00","3,945.00","3,789.10","3,848.40","3,820.00","-","-28.40","-0.74","4,90,458","189.52","4,587.30","2,424.00","-13.66","-7.76"
"NTPCGREEN","92.50","92.50","89.76","91.17","90.30","-","-0.87","-0.95","23,94,675","21.71","120.69","84.55","-0.20","-20.76"
"FEDERALBNK","283.20","284.85","277.55","282.20","279.50","-","-2.70","-0.96","1,21,20,387","340.92","287.20","172.66","4.94","46.53"
"ASTRAL","1,413.00","1,425.30","1,378.00","1,413.20","1,399.50","-","-13.70","-0.97","4,18,236","58.40","1,593.50","1,232.30","-2.34","-4.91"
"ITCHOTELS","184.80","184.80","181.50","184.80","183.00","-","-1.80","-0.97","19,10,693","34.97","261.62","155.10","-6.41","-"
"COLPAL","2,185.00","2,185.90","2,158.00","2,179.60","2,158.00","-","-21.60","-0.99","3,42,718","74.35","2,975.00","2,033.00","2.85","-21.84"
"BSE","2,722.00","2,742.00","2,677.90","2,708.60","2,680.00","-","-28.60","-1.06","21,60,443","583.25","3,030.00","1,227.33","-1.90","-53.37"
"DABUR","525.35","533.00","517.90","525.35","519.50","-","-5.85","-1.11","23,52,107","124.14","577.00","433.30","5.24","-0.29"
"PATANJALI","513.00","515.65","504.90","511.00","505.10","-","-5.90","-1.15","38,25,228","195.10","670.33","493.25","-7.56","-72.57"
"LUPIN","2,167.00","2,178.00","2,130.30","2,163.20","2,138.00","-","-25.20","-1.16","5,78,417","124.25","2,226.30","1,795.20","1.12","-0.09"
"TATAELXSI","5,474.00","5,507.50","5,374.50","5,464.00","5,400.00","-","-64.00","-1.17","1,94,177","105.45","6,735.00","4,700.00","-0.36","-12.29"
"MUTHOOTFIN","3,931.20","3,934.60","3,796.70","3,861.90","3,815.00","-","-46.90","-1.21","4,81,529","186.47","4,028.30","1,965.00","-0.14","73.06"
"RVNL","331.00","334.80","323.40","329.00","325.00","-","-4.00","-1.22","67,52,882","222.41","501.80","301.20","-4.89","-20.31"
"INDUSTOWER","419.20","422.15","410.00","419.20","414.05","-","-5.15","-1.23","46,65,531","193.65","454.95","312.55","-0.29","15.70"
"IRB","40.60","40.65","39.50","40.14","39.63","-","-0.51","-1.27","55,29,058","22.15","60.88","38.57","-6.94","-24.10"
"UNIONBANK","176.00","178.99","172.00","174.78","172.54","-","-2.24","-1.28","2,40,39,471","422.40","182.90","104.47","13.40","57.06"
"MARICO","751.75","754.00","738.85","751.75","742.00","-","-9.75","-1.30","17,55,248","130.59","780.00","577.85","0.49","11.36"
"KALYANKJIL","378.25","381.80","365.25","373.55","368.50","-","-5.05","-1.35","1,22,99,275","458.17","617.70","365.25","-24.81","-24.39"
"GLENMARK","2,000.00","2,022.90","1,961.80","1,997.20","1,968.70","-","-28.50","-1.43","4,24,174","84.41","2,284.80","1,275.50","-3.87","31.06"
"AUROPHARMA","1,145.30","1,150.50","1,120.80","1,145.30","1,128.50","-","-16.80","-1.47","5,11,867","58.15","1,278.60","1,010.00","-7.02","-4.98"
"BHARATFORG","1,435.00","1,444.50","1,398.70","1,431.50","1,410.00","-","-21.50","-1.50","6,50,137","92.29","1,506.50","919.10","-3.52","14.87"
"BIOCON","372.55","375.80","365.15","373.00","367.25","-","-5.75","-1.54","18,96,911","70.23","424.95","291.00","-8.80","-5.63"
"WAAREEENER","2,650.00","2,693.00","2,586.00","2,641.70","2,600.00","-","-41.70","-1.58","24,73,302","648.43","3,865.00","1,863.00","-16.06","7.18"
"COROMANDEL","2,284.00","2,290.00","2,232.50","2,280.20","2,243.80","-","-36.40","-1.60","3,52,674","79.69","2,718.90","1,596.00","-6.66","26.52"
"IREDA","130.51","130.99","127.00","129.93","127.80","-","-2.13","-1.64","88,41,839","114.17","208.90","126.27","-8.17","-36.38"
"PRESTIGE","1,429.80","1,429.80","1,373.20","1,422.60","1,399.00","-","-23.60","-1.66","14,53,722","202.27","1,814.00","1,048.05","-13.46","5.27"
"JUBLFOOD","505.00","505.95","490.00","501.00","492.60","-","-8.40","-1.68","18,31,633","90.82","760.50","490.00","-13.02","-25.89"
"DIXON","10,575.00","10,664.00","10,330.00","10,512.00","10,330.00","-","-182.00","-1.73","4,86,607","510.70","18,471.00","10,274.00","-19.26","-29.59"
"OBEROIRLTY","1,481.00","1,484.60","1,442.00","1,480.20","1,451.70","-","-26.50","-1.79","11,23,854","164.45","2,005.00","1,442.00","-12.55","-17.54"
"HEROMOTOCO","5,514.00","5,524.50","5,368.00","5,488.50","5,388.00","-","-100.50","-1.83","4,60,330","250.22","6,388.50","3,344.00","-6.27","32.75"
"SAIL","152.45","156.50","148.50","151.65","148.70","-","-2.95","-1.95","3,58,63,744","548.79","156.50","99.15","12.30","39.15"
"IRCTC","631.00","638.85","615.80","628.85","616.60","-","-12.25","-1.95","16,47,574","103.63","831.75","601.35","-9.26","-19.83"
"MANKIND","2,150.90","2,155.00","2,098.00","2,147.00","2,105.00","-","-42.00","-1.96","4,06,709","86.00","2,716.50","2,081.90","-5.47","-16.25"
"MFSL","1,628.00","1,628.90","1,592.10","1,627.70","1,595.10","-","-32.60","-2.00","3,87,475","62.36","1,752.20","950.00","-5.81","53.94"
"IDFCFIRSTB","84.34","85.13","82.33","84.20","82.50","-","-1.70","-2.02","3,01,20,355","252.20","87.00","52.46","-2.36","32.11"
"LICHSGFIN","517.10","521.00","504.70","517.10","506.45","-","-10.65","-2.06","9,90,874","50.74","646.50","483.70","-5.13","-8.71"
"POWERINDIA","16,951.00","16,964.00","16,380.00","16,847.00","16,470.00","-","-377.00","-2.24","1,10,388","182.72","22,840.00","8,801.00","-10.64","36.26"
"SWIGGY","320.55","321.70","310.15","320.30","313.00","-","-7.30","-2.28","1,71,99,531","540.77","474.00","297.00","-23.03","-28.12"
"NYKAA","241.35","241.35","233.85","239.45","234.00","-","-5.45","-2.28","73,59,262","175.15","273.22","154.90","-8.62","42.01"
"SBICARD","794.90","794.90","767.35","789.10","771.00","-","-18.10","-2.29","7,27,529","56.73","1,027.25","721.00","-11.12","1.85"
"MPHASIS","2,847.90","2,879.00","2,732.10","2,810.10","2,745.00","-","-65.10","-2.32","15,89,967","439.73","3,078.40","2,044.55","-6.32","-2.00"
"PHOENIXLTD","1,764.20","1,770.70","1,719.20","1,768.20","1,726.20","-","-42.00","-2.38","8,43,377","147.50","1,993.00","1,402.50","-6.29","18.43"
"ABCAPITAL","354.55","358.00","344.30","354.50","346.00","-","-8.50","-2.40","38,92,734","137.06","369.30","149.01","0.19","100.80"
"EXIDEIND","334.25","337.35","324.15","334.25","326.00","-","-8.25","-2.47","11,23,208","37.19","431.00","322.40","-12.12","-13.44"
"SUZLON","47.40","47.40","45.55","46.99","45.80","-","-1.19","-2.53","4,92,52,985","228.09","74.30","45.37","-14.77","-17.09"
"IGL","179.45","179.57","174.00","179.52","174.90","-","-4.62","-2.57","12,17,336","21.44","229.00","172.00","-10.69","-54.87"
"NHPC","78.05","78.06","75.04","77.45","75.45","-","-2.00","-2.58","1,11,93,218","85.17","92.34","71.00","-3.81","-3.23"
"INDIANB","903.45","904.80","871.50","896.75","873.50","-","-23.25","-2.59","32,66,265","291.41","908.00","478.00","11.90","68.16"
"SONACOMS","470.05","470.90","447.50","469.10","456.90","-","-12.20","-2.60","26,86,728","123.31","559.50","380.00","-6.59","-14.16"
"NMDC","78.00","78.65","76.05","78.23","76.19","-","-2.04","-2.61","1,94,89,454","150.69","86.72","59.53","-6.34","16.24"
"BDL","1,454.00","1,457.50","1,404.00","1,451.20","1,412.00","-","-39.20","-2.70","8,26,325","117.94","2,096.60","907.00","-1.63","15.68"
"COFORGE","1,673.90","1,710.00","1,629.40","1,687.70","1,642.00","-","-45.70","-2.71","35,75,484","591.19","1,994.00","1,194.01","-8.08","-80.11"
"IDEA","10.29","10.29","9.87","10.18","9.90","-","-0.28","-2.75","52,32,01,791","527.39","12.80","6.12","-17.32","4.42"
"HDFCAMC","2,513.00","2,513.00","2,420.00","2,498.90","2,429.70","-","-69.20","-2.77","4,17,907","102.83","2,967.25","1,781.53","-10.32","-38.51"
"ACC","1,728.20","1,729.00","1,663.90","1,728.20","1,678.90","-","-49.30","-2.85","2,91,265","49.34","2,119.90","1,663.90","-4.85","-16.58"
"HINDPETRO","430.00","431.70","413.75","427.70","414.50","-","-13.20","-3.09","61,40,298","259.81","508.45","287.55","-12.68","12.09"
"CONCOR","495.95","497.85","478.00","494.35","479.00","-","-15.35","-3.11","20,67,105","100.92","652.04","478.00","-6.41","-36.55"
"GODFRYPHLP","2,067.10","2,078.00","1,990.00","2,064.10","2,000.00","-","-64.10","-3.11","2,44,269","49.39","3,947.00","1,370.82","-29.94","-52.83"
"MOTILALOFS","775.05","784.40","746.10","773.80","749.40","-","-24.40","-3.15","7,40,843","56.59","1,097.10","513.00","-14.76","3.60"
"CUMMINSIND","4,108.00","4,108.00","3,917.80","4,067.80","3,933.30","-","-134.50","-3.31","4,41,947","176.40","4,615.00","2,580.00","-12.72","36.29"
"YESBANK","21.73","21.76","20.80","21.63","20.91","-","-0.72","-3.33","12,04,90,912","255.68","24.30","16.02","-3.77","14.01"
"AUBANK","1,005.00","1,006.90","961.30","1,000.55","967.00","-","-33.55","-3.35","27,52,861","269.59","1,029.95","478.35","-1.45","59.84"
"PERSISTENT","6,360.00","6,360.00","6,105.50","6,320.50","6,108.00","-","-212.50","-3.36","4,99,112","308.87","6,599.00","4,148.95","-5.15","8.30"
"TORNTPOWER","1,321.40","1,322.00","1,267.20","1,321.40","1,277.00","-","-44.40","-3.36","1,65,716","21.32","1,640.00","1,188.00","-1.40","-8.58"
