"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP SELECT","13,657.25","13,670.00","13,488.80","13,700.50","13,644.90","-","-55.60","-0.41","17,86,24,522","6,862.00","14,118.40","6,054.20","-2.24","12.83"
"MUTHOOTFIN","3,549.00","3,712.80","3,470.40","3,578.80","3,705.00","-","126.20","3.53","8,27,152","297.43","4,149.50","1,965.00","-6.00","63.46"
"AUROPHARMA","1,181.00","1,195.90","1,166.00","1,181.60","1,195.00","-","13.40","1.13","8,05,359","94.97","1,278.60","1,010.00","-3.27","-0.06"
"DIXON","11,349.00","11,549.00","11,172.00","11,376.00","11,490.00","-","114.00","1.00","4,77,648","542.48","18,471.00","9,835.00","-1.91","-23.84"
"POLYCAB","7,536.50","7,643.50","7,524.00","7,536.50","7,611.00","-","74.50","0.99","1,42,827","108.56","7,948.00","4,555.00","-2.21","26.27"
"HINDPETRO","460.65","467.90","459.65","458.85","462.50","-","3.65","0.80","47,02,809","218.28","508.45","287.55","-3.98","35.07"
"MARICO","752.20","753.35","740.60","748.30","752.45","-","4.15","0.55","17,37,323","130.03","780.00","577.85","-3.38","12.56"
"SUZLON","47.85","48.20","47.25","47.85","48.05","-","0.20","0.42","5,79,60,744","276.70","74.30","44.88","-10.12","-14.06"
"GODREJPROP","1,695.00","1,727.80","1,644.20","1,689.80","1,695.70","-","5.90","0.35","14,46,287","243.48","2,522.00","1,475.00","-20.12","-26.14"
"ASHOKLEY","201.50","203.00","199.26","201.50","201.33","-","-0.17","-0.08","95,80,410","192.37","205.19","95.93","8.43","-4.35"
"INDUSTOWER","442.55","447.55","432.85","442.40","441.95","-","-0.45","-0.10","53,13,719","233.73","454.95","312.55","2.57","23.82"
"UNIONBANK","177.50","178.69","174.55","177.92","177.75","-","-0.17","-0.10","92,74,510","163.71","183.34","106.63","7.48","49.41"
"YESBANK","21.36","21.43","21.07","21.38","21.34","-","-0.04","-0.19","6,35,75,388","134.84","24.30","16.02","-6.66","9.63"
"SRF","2,898.90","2,919.80","2,863.00","2,906.30","2,900.00","-","-6.30","-0.22","1,37,382","39.68","3,325.00","2,570.20","-4.91","-1.93"
"BSE","2,870.00","2,911.50","2,835.00","2,892.20","2,885.00","-","-7.20","-0.25","35,98,727","1,034.43","3,030.00","1,227.33","7.05","-50.34"
"HEROMOTOCO","5,772.00","5,841.00","5,715.50","5,766.00","5,746.00","-","-20.00","-0.35","7,70,475","445.18","6,388.50","3,344.00","-4.11","34.73"
"CUMMINSIND","4,319.10","4,384.40","4,231.70","4,391.40","4,362.00","-","-29.40","-0.67","5,75,249","248.02","4,615.00","2,580.00","5.76","49.54"
"INDUSINDBK","909.10","917.05","895.00","914.40","905.70","-","-8.70","-0.95","27,11,855","244.25","1,086.55","606.00","-1.16","-14.85"
"MANKIND","2,085.00","2,085.00","2,033.00","2,080.40","2,060.00","-","-20.40","-0.98","3,44,092","70.69","2,716.50","2,033.00","-8.06","-17.03"
"BHEL","268.20","269.15","263.10","268.90","266.00","-","-2.90","-1.08","35,49,301","94.31","305.90","176.00","-10.22","27.55"
"BHARATFORG","1,573.20","1,573.70","1,541.40","1,573.20","1,551.20","-","-22.00","-1.40","6,38,178","99.04","1,599.00","919.10","5.61","34.67"
"HDFCAMC","2,772.60","2,772.60","2,697.80","2,762.30","2,718.10","-","-44.20","-1.60","4,79,617","130.48","2,967.25","1,781.53","3.73","-31.88"
"PERSISTENT","5,937.00","5,960.50","5,741.00","5,980.50","5,840.00","-","-140.50","-2.35","6,01,645","349.36","6,599.00","4,148.95","-6.35","-5.45"
"LUPIN","2,214.00","2,214.00","2,162.10","2,218.50","2,162.10","-","-56.40","-2.54","6,00,785","130.95","2,244.50","1,795.20","1.12","-0.52"
"COFORGE","1,604.00","1,604.00","1,531.20","1,599.80","1,543.00","-","-56.80","-3.55","27,51,610","425.20","1,994.00","1,194.01","-6.70","-81.82"
"POLICYBZR","1,514.00","1,541.30","1,460.00","1,552.80","1,487.00","-","-65.80","-4.24","60,21,430","913.83","1,978.00","1,311.35","-13.70","-14.19"
