"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDSMALLCAP 400","19,002.10","19,013.75","18,724.95","19,281.25","18,863.15","-","-418.10","-2.17","2,29,33,20,409","49,824.44","20,668.15","15,832.85","-4.75","15.01"
"TEJASNET","480.00","528.95","474.00","484.70","490.10","-","5.40","1.11","11,96,44,546","6,021.83","914.40","294.00","40.41","-33.05"
"NETWEB","3,620.00","3,718.80","3,440.50","3,705.00","3,465.00","-","-240.00","-6.48","36,57,489","1,304.55","4,479.00","1,251.55","7.52","140.63"
"BSE","2,600.00","2,641.70","2,537.00","2,643.60","2,635.90","-","-7.70","-0.29","47,79,189","1,235.31","3,227.00","1,227.33","-8.99","77.56"
"OIL","495.05","506.25","484.15","488.05","491.60","-","3.55","0.73","2,01,90,436","1,002.84","524.00","325.00","-3.06","39.98"
"HINDCOPPER","570.55","574.30","540.00","576.00","547.00","-","-29.00","-5.03","1,76,93,572","975.46","760.05","183.82","-10.86","170.34"
"NATIONALUM","365.00","377.30","357.90","362.85","372.60","-","9.75","2.69","2,63,80,460","968.27","431.50","137.75","-0.61","108.06"
"DIXON","9,850.00","10,181.00","9,770.00","10,151.00","10,151.00","-","-","-","9,57,824","952.46","18,471.00","9,770.00","-13.08","-28.47"
"SAGILITY","38.00","42.82","37.51","38.84","41.12","-","2.28","5.87","19,54,11,000","805.09","57.89","37.50","-14.53","-3.45"
"CHENNPETRO","905.60","1,012.00","905.60","937.70","993.55","-","55.85","5.96","78,97,769","776.52","1,103.00","433.10","12.79","114.75"
"MCX","2,494.20","2,497.70","2,432.60","2,501.20","2,483.60","-","-17.60","-0.70","29,31,485","722.22","2,705.00","881.63","-2.35","169.01"
"PETRONET","298.00","298.00","271.75","308.65","279.20","-","-29.45","-9.54","2,09,23,538","589.27","326.50","263.50","-6.47","-0.34"
"ASHOKLEY","206.80","207.18","197.14","209.01","199.00","-","-10.01","-4.79","2,87,28,295","577.35","215.42","95.93","-0.96","92.33"
"SAIL","161.42","161.42","152.40","165.59","154.40","-","-11.19","-6.76","3,64,18,465","566.23","168.21","101.13","-1.84","43.41"
"SWIGGY","280.30","300.20","280.30","289.00","294.45","-","5.45","1.89","1,84,41,389","544.00","474.00","280.30","-8.30","-15.88"
"IDEA","10.10","10.18","9.85","10.29","9.96","-","-0.33","-3.21","47,97,91,170","478.35","12.80","6.12","-12.25","34.05"
"ZENTEC","1,344.00","1,427.00","1,344.00","1,345.40","1,411.00","-","65.60","4.88","33,54,343","470.76","2,268.00","984.45","4.91","31.09"
"UNIONBANK","196.00","196.00","189.40","198.13","190.90","-","-7.23","-3.65","2,39,15,359","458.67","205.49","107.60","8.40","69.43"
"KAYNES","3,680.10","3,724.80","3,614.10","3,736.60","3,701.00","-","-35.60","-0.95","12,18,882","446.47","7,705.00","3,294.90","-2.07","-8.55"
"OLAELEC","24.00","26.10","23.75","24.08","24.80","-","0.72","2.99","17,12,94,984","427.38","71.25","23.62","-22.86","-55.67"
"PAYTM","1,048.90","1,057.90","1,023.00","1,059.40","1,043.60","-","-15.80","-1.49","41,20,235","427.31","1,381.80","651.50","-13.50","49.41"
"CUMMINSIND","4,661.10","4,757.70","4,563.50","4,816.80","4,580.00","-","-236.80","-4.92","8,99,617","418.35","4,987.00","2,580.00","8.99","60.08"
"POLYCAB","8,420.00","8,475.00","8,266.50","8,548.50","8,279.00","-","-269.50","-3.15","4,85,905","405.67","8,722.00","4,567.00","8.51","68.78"
"BHEL","258.00","258.95","247.20","262.15","248.10","-","-14.05","-5.36","1,62,08,648","405.54","305.90","176.00","-9.02","28.72"
"POWERINDIA","25,160.00","25,195.00","24,195.00","25,500.00","24,405.00","-","-1,095.00","-4.29","1,59,680","391.84","25,850.00","10,400.00","28.16","100.25"
"COFORGE","1,140.00","1,175.90","1,136.00","1,162.70","1,169.10","-","6.40","0.55","30,36,423","353.62","1,994.00","1,129.70","-27.56","-18.95"
"FORCEMOT","22,840.00","23,000.00","21,200.00","23,380.00","21,300.00","-","-2,080.00","-8.90","1,60,061","349.63","26,450.00","6,635.35","6.13","197.73"
"PRAJIND","300.95","327.95","294.10","304.50","314.05","-","9.55","3.14","1,09,54,285","347.00","588.45","273.00","8.42","-36.89"
"GVT&D","3,650.00","3,799.10","3,607.00","3,772.40","3,683.20","-","-89.20","-2.36","9,15,717","337.04","3,912.00","1,254.00","4.92","170.64"
"GODREJPROP","1,698.00","1,710.00","1,647.00","1,733.50","1,683.50","-","-50.00","-2.88","20,01,315","336.31","2,506.50","1,475.00","-1.65","-16.18"
