"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY NEXT 50","67,829.20","67,834.25","66,109.75","67,592.80","66,260.55","-","-1,332.25","-1.97","31,27,23,407","15,019.20","70,833.65","56,192.45","-4.10","5.40"
"HINDZINC","695.00","710.00","688.05","668.25","697.00","-","28.75","4.30","3,24,27,217","2,274.80","710.00","378.15","14.58","48.87"
"VEDL","685.00","699.00","681.45","678.65","685.15","-","6.50","0.96","2,14,35,331","1,480.65","699.00","363.00","16.67","51.53"
"UNITDSPR","1,354.00","1,357.50","1,327.00","1,338.40","1,342.00","-","3.60","0.27","13,98,884","188.39","1,645.00","1,271.10","-7.55","-8.62"
"PIDILITIND","1,445.00","1,463.00","1,440.80","1,452.80","1,449.70","-","-3.10","-0.21","12,12,874","175.65","1,574.95","1,311.10","-0.97","-47.44"
"BAJAJHLDNG","10,767.00","10,785.00","10,596.00","10,735.00","10,711.00","-","-24.00","-0.22","1,31,490","140.73","14,763.00","10,400.00","-5.42","-5.48"
"GODREJCP","1,253.50","1,256.40","1,235.60","1,246.00","1,242.70","-","-3.30","-0.26","8,63,131","107.29","1,309.00","979.50","3.67","7.58"
"ZYDUSLIFE","886.50","897.15","880.00","885.30","883.00","-","-2.30","-0.26","4,60,331","40.82","1,059.05","795.00","-4.94","-9.86"
"HYUNDAI","2,278.00","2,289.50","2,241.00","2,277.80","2,264.10","-","-13.70","-0.60","5,69,772","128.53","2,890.00","1,541.70","-2.22","32.93"
"TVSMOTOR","3,570.10","3,613.00","3,536.20","3,570.10","3,547.30","-","-22.80","-0.64","6,18,661","220.57","3,909.00","2,192.75","-3.71","56.16"
"CHOLAFIN","1,664.00","1,667.00","1,638.30","1,664.00","1,648.70","-","-15.30","-0.92","10,68,908","176.85","1,831.50","1,169.80","-2.10","30.71"
"RECLTD","367.25","370.65","360.50","366.20","362.70","-","-3.50","-0.96","92,32,847","337.12","479.00","330.95","2.02","-21.79"
"SIEMENS","2,928.00","2,942.60","2,890.00","2,928.20","2,900.00","-","-28.20","-0.96","2,81,797","81.93","6,146.00","2,450.00","-7.46","-50.48"
