"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY RURAL","15,798.35","15,940.80","15,723.95","15,825.35","15,926.40","-","101.05","0.64","86,71,56,147","19,290.95","16,378.35","12,891.50","-2.56","12.44"
"POONAWALLA","410.30","442.40","402.75","410.05","441.00","-","30.95","7.55","21,40,087","89.69","570.40","267.20","-9.96","36.03"
"LICI","847.45","907.50","847.45","839.75","899.00","-","59.25","7.06","1,58,19,930","1,416.74","980.00","715.30","6.09","7.03"
"ITC","310.00","327.70","308.30","310.20","326.35","-","16.15","5.21","6,80,57,745","2,195.95","455.85","302.00","-4.86","-27.30"
"ZEEL","86.00","90.00","85.55","85.96","89.83","-","3.87","4.50","1,31,33,948","115.12","151.70","78.40","-2.48","-18.67"
"MUTHOOTFIN","3,549.00","3,712.80","3,470.40","3,578.80","3,705.00","-","126.20","3.53","8,27,152","297.43","4,149.50","1,965.00","-6.00","63.46"
"HINDUNILVR","2,354.40","2,429.00","2,337.50","2,354.40","2,421.00","-","66.60","2.83","14,21,995","340.78","2,750.00","2,136.00","-0.02","1.39"
"SUNDARMFIN","5,321.00","5,450.00","5,299.50","5,321.00","5,450.00","-","145.00","2.73","47,992","25.96","5,450.00","4,200.00","2.71","18.23"
"BAJFINANCE","973.95","986.50","966.10","964.75","982.00","-","17.25","1.79","1,37,42,927","1,344.14","1,102.50","802.50","0.45","-88.46"
"BHARTIARTL","1,994.00","2,049.70","1,988.50","1,992.40","2,023.00","-","30.60","1.54","1,38,70,403","2,803.58","2,174.50","1,559.50","-3.18","22.76"
"PATANJALI","517.00","526.75","507.10","515.50","522.90","-","7.40","1.44","22,88,281","119.01","670.33","480.00","-8.78","-70.93"
"ESCORTS","3,702.50","3,778.00","3,680.00","3,714.10","3,767.00","-","52.90","1.42","91,708","34.34","4,180.00","2,776.40","-4.68","13.16"
"CHOLAFIN","1,711.20","1,748.00","1,701.80","1,722.30","1,741.10","-","18.80","1.09","11,97,294","206.33","1,831.50","1,300.60","-3.50","25.52"
"TVSMOTOR","3,700.00","3,773.00","3,667.10","3,712.70","3,752.00","-","39.30","1.06","7,35,378","273.73","3,909.00","2,192.75","-2.78","43.62"
"HYUNDAI","2,174.30","2,190.00","2,152.00","2,164.30","2,187.00","-","22.70","1.05","2,59,819","56.51","2,890.00","1,541.70","-5.22","18.73"
"GODREJCP","1,173.00","1,184.20","1,156.00","1,170.20","1,182.20","-","12.00","1.03","8,08,406","94.93","1,309.00","979.50","-5.76","5.64"
