"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY SMALLCAP 250","15,870.40","15,880.40","15,689.90","15,919.15","15,864.50","-","-54.65","-0.34","50,56,50,159","18,051.55","18,077.35","13,314.70","-5.52","-1.49"
"CONCORDBIO","1,164.80","1,385.00","1,144.10","1,168.20","1,325.50","-","157.30","13.47","38,30,074","493.63","2,451.70","1,100.00","-1.85","-41.61"
"POONAWALLA","410.30","442.40","402.75","410.05","441.00","-","30.95","7.55","21,40,087","89.69","570.40","267.20","-9.96","36.03"
"DATAPATTNS","2,700.00","2,758.90","2,574.00","2,523.50","2,705.00","-","181.50","7.19","35,63,917","955.51","3,268.80","1,351.15","1.68","34.36"
"MGL","1,068.00","1,165.00","1,066.30","1,071.50","1,138.90","-","67.40","6.29","12,12,302","136.59","1,586.90","1,018.60","7.28","-14.53"
"ASTERDM","536.50","568.95","528.75","537.95","565.55","-","27.60","5.13","17,89,558","99.52","732.20","387.10","-10.01","17.28"
"ZEEL","86.00","90.00","85.55","85.96","89.83","-","3.87","4.50","1,31,33,948","115.12","151.70","78.40","-2.48","-18.67"
"SAILIFE","851.00","877.00","827.00","810.85","847.00","-","36.15","4.46","43,39,405","368.45","983.35","636.10","-12.94","22.31"
"AKZOINDIA","2,823.20","2,940.00","2,808.20","2,823.30","2,928.50","-","105.20","3.73","29,318","8.41","3,915.50","2,658.70","-8.19","-21.91"
"AMBER","6,380.00","6,665.50","6,312.50","6,399.50","6,629.00","-","229.50","3.59","4,42,275","290.14","8,626.00","5,235.00","-1.01","-3.89"
"SCHNEIDER","732.35","775.80","722.05","732.35","757.10","-","24.75","3.38","8,35,378","63.72","1,052.00","540.00","10.50","17.61"
"KIRLOSBROS","1,545.20","1,675.00","1,545.20","1,545.20","1,595.30","-","50.10","3.24","16,44,409","269.44","2,475.00","1,422.35","-0.85","-17.36"
"ABREL","1,302.90","1,382.70","1,278.30","1,303.50","1,342.40","-","38.90","2.98","6,41,122","85.95","2,537.90","1,186.00","-18.95","-40.68"
"FINCABLES","745.50","774.50","745.50","745.50","766.05","-","20.55","2.76","3,73,587","28.55","1,059.95","700.80","-1.37","-21.84"
"ATUL","6,260.00","6,551.00","6,163.00","6,253.50","6,425.00","-","171.50","2.74","22,551","14.39","7,788.00","4,752.00","4.47","4.14"
"KAYNES","3,415.00","3,756.20","3,337.10","3,616.10","3,713.00","-","96.90","2.68","69,79,879","2,488.80","7,705.00","3,294.90","-2.40","-16.06"
"NCC","147.19","157.50","145.22","152.09","156.10","-","4.01","2.64","66,32,449","99.92","247.70","138.57","-1.15","-34.78"
"ACE","897.00","930.00","883.65","895.20","918.00","-","22.80","2.55","3,45,866","31.59","1,389.00","775.45","-1.87","-25.16"
"LALPATHLAB","1,410.00","1,449.90","1,395.90","1,411.00","1,444.20","-","33.20","2.35","1,95,854","28.12","1,770.00","1,146.78","-2.43","-48.31"
"NAVINFLUOR","6,297.50","6,473.00","6,227.00","6,273.00","6,420.00","-","147.00","2.34","2,16,269","138.63","6,473.00","3,566.00","11.59","50.91"
"SBFC","90.41","94.20","90.01","91.02","93.10","-","2.08","2.29","16,97,542","15.74","123.00","79.24","-8.52","12.08"
"WHIRLPOOL","830.00","858.45","825.20","832.35","851.00","-","18.65","2.24","5,91,847","49.91","1,473.80","756.85","-2.71","-24.33"
"CENTURYPLY","784.00","804.20","776.20","785.75","803.00","-","17.25","2.20","43,290","3.44","897.10","650.00","-2.28","-8.11"
"CERA","5,050.10","5,200.00","5,006.40","5,053.60","5,163.10","-","109.50","2.17","23,703","12.16","7,275.00","4,796.50","-0.19","-24.83"
"MANAPPURAM","291.85","302.35","284.20","294.75","300.50","-","6.25","2.12","52,97,331","156.31","321.60","168.83","-2.38","46.24"
"GSPL","299.90","307.20","298.00","299.90","305.90","-","6.00","2.00","6,77,322","20.64","360.60","261.45","-4.09","-10.68"
"EMCURE","1,475.00","1,520.00","1,461.10","1,482.30","1,512.00","-","29.70","2.00","94,187","14.12","1,585.60","889.00","-0.80","21.28"
"IGIL","322.10","339.00","308.90","314.75","321.00","-","6.25","1.99","39,38,148","126.25","542.05","282.00","-0.59","-36.73"
"KAJARIACER","919.95","943.85","910.00","918.90","937.00","-","18.10","1.97","1,56,604","14.60","1,321.90","758.70","-6.25","-4.03"
"IIFL","504.10","518.85","499.60","504.55","514.45","-","9.90","1.96","20,71,645","105.96","675.00","279.80","-22.45","42.54"
"TIMKEN","3,181.10","3,246.60","3,160.00","3,181.10","3,242.00","-","60.90","1.91","33,980","10.93","3,575.00","2,202.00","5.44","15.83"
"TRITURBINE","497.25","511.10","490.95","499.65","508.00","-","8.35","1.67","3,07,622","15.29","675.20","454.10","-6.66","-12.97"
"CGCL","170.00","174.48","167.91","169.79","172.50","-","2.71","1.60","9,25,883","15.97","231.35","150.51","-7.61","-3.00"
"CAMPUS","268.20","279.55","266.15","269.05","273.00","-","3.95","1.47","7,35,312","20.16","304.40","210.00","4.77","-1.60"
"PVRINOX","984.05","1,013.00","959.00","986.70","1,000.90","-","14.20","1.44","3,84,180","38.05","1,249.70","830.00","-2.09","-11.13"
"SAGILITY","47.25","48.70","47.25","47.57","48.25","-","0.68","1.43","2,05,32,475","98.88","57.89","37.60","-6.75","-3.96"
"HONASA","278.50","287.40","276.05","281.00","285.00","-","4.00","1.42","1,42,757","4.04","334.20","197.51","-5.10","27.42"
"FIRSTCRY","265.80","270.20","261.30","265.75","269.50","-","3.75","1.41","4,76,246","12.70","485.00","254.50","-7.52","-43.29"
"SOBHA","1,491.80","1,518.00","1,470.40","1,491.80","1,512.20","-","20.40","1.37","67,110","10.04","1,732.50","1,075.30","-2.20","14.34"
"ERIS","1,416.20","1,433.80","1,384.00","1,413.20","1,430.70","-","17.50","1.24","25,808","3.64","1,910.00","1,097.20","-7.80","2.93"
"ANANTRAJ","545.70","554.90","537.00","547.55","554.00","-","6.45","1.18","18,44,489","100.13","743.65","376.15","-6.40","-6.26"
"KSB","698.95","715.00","698.95","702.90","711.00","-","8.10","1.15","26,249","1.86","912.00","582.25","-5.63","-0.33"
"MMTC","63.14","64.79","62.32","63.13","63.85","-","0.72","1.14","20,38,443","12.95","88.19","44.50","-3.78","-6.11"
"INDGN","480.70","493.00","477.45","480.70","486.00","-","5.30","1.10","1,85,816","9.03","640.10","455.60","-6.38","-19.55"
"MAHSCOOTER","13,418.00","13,599.00","13,250.00","13,418.00","13,566.00","-","148.00","1.10","2,187","2.94","18,538.00","8,822.00","-4.33","39.13"
"HOMEFIRST","1,155.00","1,177.00","1,145.40","1,161.40","1,174.00","-","12.60","1.08","88,321","10.28","1,519.00","878.40","9.76","17.37"
"CHENNPETRO","891.05","907.90","887.60","894.40","904.00","-","9.60","1.07","8,99,116","81.17","1,103.00","433.10","12.23","70.02"
"CEATLTD","3,877.10","3,978.00","3,851.50","3,878.10","3,917.90","-","39.80","1.03","1,00,262","39.39","4,438.00","2,343.05","4.20","32.07"
"JINDALSAW","184.88","190.91","183.54","185.00","186.79","-","1.79","0.97","27,36,914","51.14","286.40","153.00","9.49","-27.39"
"HBLENGINE","776.00","796.40","764.60","779.55","787.00","-","7.45","0.96","10,09,287","78.78","1,122.00","405.00","-17.28","34.97"
"MRPL","183.30","188.35","180.71","182.59","184.32","-","1.73","0.95","1,44,81,024","267.65","190.67","98.92","25.03","45.64"
"AIIL","495.00","510.00","487.25","499.40","504.00","-","4.60","0.92","2,72,723","13.60","683.00","265.10","-83.96","-71.51"
"LTFOODS","395.60","403.40","390.30","396.50","400.00","-","3.50","0.88","27,37,235","109.13","518.55","288.25","5.76","1.61"
"FIVESTAR","447.95","452.75","440.00","447.95","451.80","-","3.85","0.86","6,15,352","27.44","850.00","420.55","-15.90","-39.24"
