"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"PRESSTONIC","46.00","53.25","42.00","44.40","53.25","-","8.85","19.93","2,45,600","1.26","121.19","36.25","-9.68","-49.81"
"KCEIL","118.75","138.00","118.00","116.20","137.55","-","21.35","18.37","1,09,500","1.41","388.05","108.00","-5.76","-51.67"
"SSFL","97.00","103.90","94.00","89.70","103.85","-","14.15","15.77","30,000","0.30","216.00","86.00","-16.95","-48.25"
"SHUBHSHREE","340.00","380.00","340.00","320.00","368.00","-","48.00","15.00","1,500","0.05","494.95","268.70","8.22","-7.54"
"ALPEXSOLAR","781.20","873.50","771.25","783.25","870.00","-","86.75","11.08","1,83,000","15.27","1,449.70","495.00","10.62","20.52"
"VIJAYPD","56.05","65.00","54.65","56.05","62.00","-","5.95","10.62","2,40,000","1.44","65.00","35.00","50.71","-"
"NIRMAN","63.45","63.50","63.45","57.75","63.50","-","5.75","9.96","2,39,400","1.52","390.35","46.75","2.50","-81.56"
"KHFM","64.00","72.95","64.00","67.10","72.95","-","5.85","8.72","3,100","0.02","102.80","54.50","15.52","-29.04"
"PARTH","229.00","239.05","229.00","221.05","239.05","-","18.00","8.14","13,200","0.31","306.40","169.00","14.00","-"
"PATILAUTOM","138.00","148.00","136.00","137.45","148.00","-","10.55","7.68","27,000","0.38","268.90","134.00","-15.87","-"
"NIDAN","17.45","17.45","16.30","15.65","16.80","-","1.15","7.35","7,000","0.01","25.75","15.00","-8.70","-32.67"
"PARAGON","43.00","45.00","43.00","42.10","44.95","-","2.85","6.77","22,800","0.10","83.50","34.10","12.23","-43.81"
"REXPRO","51.95","51.95","50.85","47.70","50.85","-","3.15","6.60","3,000","0.02","113.30","41.60","-4.06","-34.13"
"CONNPLEX","239.00","265.00","239.00","249.70","265.00","-","15.30","6.13","68,800","1.76","293.00","177.00","-7.08","-"
"GPECO","375.00","389.00","372.25","366.60","389.00","-","22.40","6.11","13,000","0.49","616.50","230.00","-7.19","36.47"
"OLIL","286.15","305.00","284.00","288.00","304.95","-","16.95","5.89","40,400","1.21","355.00","98.15","-0.54","155.03"
"AVPINFRA","115.00","120.50","114.00","110.15","116.50","-","6.35","5.76","82,400","0.97","223.45","83.00","-0.97","-55.64"
"ENFUSE","198.00","212.05","198.00","200.50","212.00","-","11.50","5.74","3,600","0.08","284.00","164.00","-3.64","-10.77"
"GIRIRAJ","158.50","158.50","158.50","150.15","158.50","-","8.35","5.56","250","-","409.00","96.80","-20.93","-43.39"
"IDENTICAL","17.95","18.15","17.95","17.20","18.15","-","0.95","5.52","4,000","0.01","56.00","17.05","-13.78","-63.70"
"VINSYS","317.10","326.85","317.05","309.85","326.85","-","17.00","5.49","4,000","0.13","475.00","300.00","-6.87","-18.90"
"KARNIKA","114.00","118.75","113.50","113.10","118.75","-","5.65","5.00","8,000","0.09","224.95","70.30","0.08","-68.32"
"AMBANIORGO","119.90","119.90","115.00","114.20","119.90","-","5.70","4.99","25,000","0.30","143.65","94.90","20.20","-16.74"
"FLYSBS","462.20","488.10","454.00","464.90","488.10","-","23.20","4.99","36,000","1.71","790.00","375.05","-4.68","-"
"GRCL","398.00","418.95","380.05","399.00","418.90","-","19.90","4.99","2,000","0.08","525.25","306.65","10.25","-4.25"
"SILKFLEX","111.50","111.50","111.50","106.20","111.50","-","5.30","4.99","2,000","0.02","112.10","50.65","19.89","59.06"
"TANKUP","491.05","541.50","490.00","515.75","541.50","-","25.75","4.99","5,250","0.27","817.60","152.55","-27.80","-"
"HRHNEXT","27.00","28.45","25.75","27.10","28.45","-","1.35","4.98","52,500","0.14","74.40","25.30","-19.14","-58.69"
"SPRL","121.25","121.25","121.25","115.50","121.25","-","5.75","4.98","800","0.01","199.40","104.55","-23.81","-15.80"
"SYNOPTICS","53.75","53.75","53.75","51.20","53.75","-","2.55","4.98","600","-","125.00","45.90","-3.15","-54.47"
"VEEKAYEM","98.10","98.10","98.10","93.45","98.10","-","4.65","4.98","500","-","318.00","79.80","-26.24","-63.28"
"MOXSH","81.20","85.00","81.20","81.00","85.00","-","4.00","4.94","19,200","0.16","101.15","25.50","-1.16","145.66"
"QFIL","58.40","58.40","58.40","55.65","58.40","-","2.75","4.94","1,000","0.01","86.90","52.50","-4.26","-35.89"
"SATIPOLY","46.00","46.00","46.00","43.85","46.00","-","2.15","4.90","15,500","0.07","180.00","36.10","-21.97","-74.44"
"QUICKTOUCH","36.00","37.55","35.00","35.80","37.55","-","1.75","4.89","40,000","0.15","74.05","27.15","-11.04","-47.48"
"SHETHJI","113.50","118.95","112.00","113.40","118.95","-","5.55","4.89","42,000","0.48","123.65","95.50","-1.81","-"
"SKP","184.90","184.90","182.50","174.10","182.50","-","8.40","4.82","1,000","0.02","263.00","150.00","3.52","-27.58"
"NEWJAISA","19.30","19.60","19.30","18.70","19.60","-","0.90","4.81","24,000","0.05","85.00","15.15","-12.50","-75.06"
"GRAPHISAD","43.20","44.00","38.85","41.80","43.80","-","2.00","4.78","54,000","0.23","58.20","30.40","-6.97","-13.20"
"MARINETRAN","18.95","19.85","18.05","18.95","19.85","-","0.90","4.75","20,000","0.04","28.20","13.30","-10.18","-17.12"
"SAHANA","889.55","955.00","885.05","889.55","931.00","-","41.45","4.66","33,625","3.15","1,730.00","685.00","15.12","-40.13"
"VIVIANA","787.00","859.00","751.00","787.25","823.95","-","36.70","4.66","19,800","1.61","1,162.50","373.75","14.89","-18.83"
"HVAX","736.25","810.00","736.25","775.00","810.00","-","35.00","4.52","1,050","0.08","1,029.30","544.50","-2.40","11.57"
"PRECISION","9.20","9.25","9.20","8.85","9.25","-","0.40","4.52","18,000","0.02","39.00","8.40","-22.92","-76.13"
"BHADORA","69.50","69.50","69.50","66.50","69.50","-","3.00","4.51","1,200","0.01","128.85","60.00","-7.58","-"
"PRATHAM","134.60","140.00","132.50","129.80","135.65","-","5.85","4.51","4,800","0.07","216.80","126.50","-6.58","-24.20"
"VIAZ","67.90","67.90","67.90","65.00","67.90","-","2.90","4.46","2,000","0.01","99.55","49.30","4.46","6.93"
"DESTINY","124.30","124.30","124.30","119.00","124.30","-","5.30","4.45","1,500","0.02","143.00","67.80","8.09","9.90"
"DUGLOBAL","30.50","31.00","28.00","28.25","29.50","-","1.25","4.42","1,02,500","0.30","64.00","26.50","-7.30","-49.70"
"WTICAB","121.90","123.40","121.90","118.35","123.40","-","5.05","4.27","2,000","0.02","204.00","113.00","-7.36","-31.44"
"PARAMOUNT","44.50","44.50","44.50","42.70","44.50","-","1.80","4.22","1,200","0.01","90.00","36.35","-10.91","-46.39"
"SRIVASAVI","45.05","46.95","44.10","45.05","46.95","-","1.90","4.22","7,000","0.03","88.90","39.00","-6.10","-45.53"
"GREENCHEF","46.00","47.90","45.80","46.00","47.90","-","1.90","4.13","5,600","0.03","76.00","42.30","-13.69","-34.38"
"AMEYA","93.95","94.00","93.95","90.35","94.00","-","3.65","4.04","3,000","0.03","127.25","86.40","-5.05","-8.74"
"BMETRICS","39.45","39.50","39.45","38.00","39.50","-","1.50","3.95","4,000","0.02","63.20","35.35","-5.05","-32.77"
"ORIANA","2,014.80","2,227.00","1,983.00","2,015.55","2,095.00","-","79.45","3.94","1,61,850","34.29","3,064.00","1,000.00","-1.30","21.80"
"CHAVDA","110.55","113.00","110.10","108.75","113.00","-","4.25","3.91","13,000","0.15","172.60","82.10","-6.99","-33.88"
"ALCODIS","74.00","79.00","74.00","76.05","79.00","-","2.95","3.88","5,000","0.04","208.50","73.25","-14.50","-"
"INSPIRE","-","-","-","10.50","10.90","-","0.40","3.81","-","-","28.25","9.50","-2.78","-61.82"
"SATTVAENGG","53.05","54.45","53.05","52.45","54.45","-","2.00","3.81","6,400","0.03","118.90","47.20","-5.14","-"
"ASCOM","162.00","165.00","162.00","159.00","165.00","-","6.00","3.77","3,000","0.05","165.00","76.55","23.13","43.23"
"MANAV","29.90","29.90","29.90","28.85","29.90","-","1.05","3.64","4,000","0.01","31.70","10.50","-","76.40"
"TRUST","41.05","44.50","41.05","43.00","44.50","-","1.50","3.49","7,200","0.03","107.80","38.00","-7.58","-58.02"
"CHANDAN","262.05","272.00","262.05","263.45","272.00","-","8.55","3.25","34,400","0.93","358.00","140.00","-7.86","-"
"YUDIZ","36.40","36.40","35.80","34.70","35.80","-","1.10","3.17","13,600","0.05","58.10","24.65","39.57","-36.07"
"ATCENERGY","30.05","30.60","30.00","29.50","30.40","-","0.90","3.05","21,600","0.07","115.35","27.00","-12.14","-"
"EFACTOR","263.00","283.35","261.25","275.00","283.35","-","8.35","3.04","2,800","0.07","348.00","127.50","-10.76","32.59"
"TECHERA","220.00","225.50","214.00","218.85","225.50","-","6.65","3.04","14,400","0.32","325.70","115.60","9.66","29.65"
"SHEEL","70.00","70.00","70.00","67.95","70.00","-","2.05","3.02","2,000","0.01","95.55","62.00","-2.78","-"
"RNFI","300.00","310.00","296.00","301.00","310.00","-","9.00","2.99","6,000","0.18","404.00","205.00","4.10","-2.55"
"DUCOL","134.00","135.00","133.55","131.10","135.00","-","3.90","2.97","35,200","0.47","209.50","93.50","-14.56","8.00"
"ARABIAN","69.00","70.00","69.00","68.05","70.00","-","1.95","2.87","24,000","0.17","92.95","63.00","-2.78","-8.02"
"SLONE","210.00","220.00","210.00","214.00","220.00","-","6.00","2.80","3,600","0.08","371.45","210.00","-15.37","-34.72"
"SPUNWEB","114.00","120.50","114.00","116.00","119.20","-","3.20","2.76","27,600","0.33","173.55","105.55","-10.32","-"
"ASPIRE","15.20","15.20","15.20","14.80","15.20","-","0.40","2.70","20,000","0.03","40.00","14.40","-7.03","-54.35"
"BEACON","89.70","89.70","86.50","87.25","89.60","-","2.35","2.69","14,000","0.12","102.50","50.00","13.22","0.56"
"SDREAMS","93.55","99.05","93.10","93.50","96.00","-","2.50","2.67","18,000","0.17","161.00","73.00","19.93","-38.85"
"SHKSIL","48.90","49.00","48.00","46.75","48.00","-","1.25","2.67","6,000","0.03","84.00","43.00","-12.89","-"
"SNEHAA","47.25","49.00","47.25","47.25","48.50","-","1.25","2.65","4,000","0.02","122.00","39.35","-14.69","-"
"IWARE","238.00","238.00","232.75","230.45","236.50","-","6.05","2.63","6,000","0.14","243.90","70.05","23.31","-"
"SFML","26.70","27.75","26.70","27.10","27.75","-","0.65","2.40","9,600","0.03","48.00","26.00","-12.18","-39.48"
"AGNI","18.60","19.45","18.60","18.95","19.40","-","0.45","2.37","15,000","0.03","43.35","17.90","-14.16","-39.56"
"PARAMATRIX","75.00","77.00","75.00","75.05","76.80","-","1.75","2.33","4,800","0.04","108.95","63.60","4.85","-20.00"
"OSELDEVICE","532.00","532.00","511.00","515.10","526.90","-","11.80","2.29","10,400","0.54","835.00","186.25","0.45","69.13"
"ACCENTMIC","323.00","331.00","323.00","322.70","330.00","-","7.30","2.26","7,500","0.25","378.00","169.81","-9.45","26.80"
"FELIX","191.50","204.00","187.20","197.55","201.95","-","4.40","2.23","32,000","0.64","220.00","108.00","1.90","10.19"
"PREMIUM","36.50","37.00","36.50","36.20","37.00","-","0.80","2.21","15,000","0.06","44.25","26.05","-4.76","-13.95"
"PCCL","233.50","233.50","220.20","225.05","230.00","-","4.95","2.20","4,800","0.11","267.50","150.00","9.38","21.76"
"RBMINFRA","420.00","425.50","400.00","410.30","419.00","-","8.70","2.12","15,600","0.65","524.80","249.85","-3.36","2.85"
"HIGREEN","140.05","143.00","138.00","140.05","143.00","-","2.95","2.11","3,200","0.04","283.00","125.00","-1.04","-52.90"
"VIVO","-","-","-","76.00","77.60","-","1.60","2.11","-","-","81.70","62.00","-2.56","-0.26"
"SSEGL","402.00","413.35","390.50","395.65","403.95","-","8.30","2.10","33,800","1.35","580.00","345.05","-11.27","-13.52"
"NEPHROCARE","99.00","102.00","99.00","99.00","101.00","-","2.00","2.02","6,800","0.07","204.80","94.50","-9.34","-40.94"
"NEELAM","15.55","15.55","14.90","14.95","15.25","-","0.30","2.01","36,000","0.05","40.70","10.95","14.66","-60.90"
"INTEGRITY","130.00","130.00","130.00","127.50","130.00","-","2.50","1.96","1,200","0.02","145.10","81.70","-3.77","-"
"PRIZOR","274.75","279.35","274.35","273.65","279.00","-","5.35","1.96","10,000","0.28","362.00","105.10","-6.40","24.11"
"ANYA","19.95","20.95","19.95","20.55","20.95","-","0.40","1.95","30,000","0.06","29.05","19.45","3.97","-10.28"
"DHTL","65.90","65.90","65.90","64.65","65.90","-","1.25","1.93","800","0.01","125.20","36.90","-","-"
"KKJEWELS","90.00","94.00","90.00","89.50","91.20","-","1.70","1.90","28,000","0.26","229.00","84.00","-0.49","-54.61"
