"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY TOTAL MARKET","13,129.90","13,192.85","13,057.75","13,147.40","13,182.85","-","35.45","0.27","79,77,14,212","27,006.11","13,842.60","6,252.10","-2.77","8.14"
"GOKEX","778.40","827.40","751.25","694.05","826.80","-","132.75","19.13","79,78,148","634.70","1,060.00","531.00","-3.36","-26.44"
"SFL","575.00","628.30","561.00","523.60","617.95","-","94.35","18.02","18,05,422","110.17","918.40","497.95","-11.76","-42.27"
"JINDWORLD","27.88","31.47","27.70","27.57","31.47","-","3.90","14.15","13,28,453","3.97","88.13","23.25","-6.83","-93.30"
"KITEX","210.00","224.50","209.70","196.48","223.70","-","27.22","13.85","91,52,071","200.83","324.42","138.20","7.55","3.88"
"LLOYDSME","1,255.00","1,326.50","1,255.00","1,168.70","1,322.80","-","154.10","13.19","27,05,012","351.90","1,612.00","942.15","-13.35","-4.83"
"ICIL","296.00","324.77","285.00","286.33","321.61","-","35.28","12.32","39,98,798","122.94","355.50","213.55","2.22","-5.56"
"AVANTIFEED","953.10","1,079.00","943.20","959.80","1,051.95","-","92.15","9.60","39,88,968","411.07","1,079.00","601.55","9.04","31.87"
"RPOWER","27.96","30.74","27.68","28.17","30.57","-","2.40","8.52","4,33,47,730","128.83","76.49","25.92","-21.60","-27.95"
"JBMA","572.95","618.40","567.35","570.10","612.50","-","42.40","7.44","20,47,784","124.53","790.00","489.80","-14.48","-27.04"
"KSL","715.00","779.80","715.00","709.00","761.70","-","52.70","7.43","1,37,844","10.49","988.80","660.20","-6.70","-18.57"
"SHRIPISTON","2,850.00","3,028.90","2,850.00","2,840.50","3,021.70","-","181.20","6.38","65,063","19.40","3,407.20","1,662.55","-13.85","41.90"
