Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SILVERBEES,EQ,224.6,-5,31557.59,1688.9,3777.21
BHARTIARTL,EQ,2023,1.54,1153535.91,138.7,2803.58
KAYNES,EQ,3713,2.68,24889.97,69.8,2488.8
ITC,EQ,326.35,5.21,408974.39,680.58,2195.95
POWERINDIA,EQ,21850,13.81,97390.61,9.94,2146.37
INFY,EQ,1505.7,-0.95,610512.39,139.01,2086.19
HDFCBANK,EQ,941,-0.92,1448018.8,181.2,1706.42
HINDCOPPER,EQ,578.2,-4.79,55913.33,277.14,1618.69
GODFRYPHLP,EQ,2174,9.69,33910.43,72.9,1583.1
NYKAA,EQ,276.8,7.17,79239.18,576.86,1569.53
ICICIBANK,EQ,1408,0.82,1007207.02,108.51,1522.06
LICI,EQ,899,7.06,568617.29,158.2,1416.74
TCS,EQ,2940.3,-1.71,1063826.27,46.87,1375.32
BAJFINANCE,EQ,982,1.79,611014.33,137.43,1344.14
RELIANCE,EQ,1451,0.53,1963561.78,82.77,1194.23
GOLDBEES,EQ,124.81,-0.33,55448.04,954.08,1184.4
MCX,EQ,2377,-1.39,60611.56,49.58,1170.6
VEDL,EQ,666,1.65,260431.84,168.66,1111.88
BSE,EQ,2885,-0.25,117674.56,35.99,1034.43
TATSILV,EQ,22.83,-5.23,5080.48,4352.13,993.59
DATAPATTNS,EQ,2705,7.19,15143.66,35.64,955.51
MRF,EQ,146195,8.32,62003.39,0.64,925.75
POLICYBZR,EQ,1487,-4.24,68799.73,60.21,913.83
KOTAKBANK,EQ,422.35,3.33,420082.98,212.29,887.91
TMPV,EQ,368.9,-1.4,135850.35,231.17,860.81
ETERNAL,EQ,283.55,-1.15,273635.69,299.38,849.63
HAL,EQ,4066,0.76,271923.91,20.94,844.97
AXISBANK,EQ,1341.9,0.85,416721.57,58.77,786.07
SBIN,EQ,1066,-0.7,983983.83,70.42,747.3
ADANIPORTS,EQ,1549.5,-1.32,356998.46,44.29,690.53
HINDZINC,EQ,606.75,-0.66,256371.23,114.09,686.52
LT,EQ,4065.4,0.05,559241.11,16.31,662.54
IDEA,EQ,11.15,-0.8,120802.48,5797.64,640.64
IOC,EQ,174.9,-0.49,246980.46,342.4,604.07
POWERGRID,EQ,292.8,1.19,272321.68,199.51,582.57
DIXON,EQ,11490,1,69727.92,4.78,542.48
EIHOTEL,EQ,342,0.23,21387.46,151.7,537.07
HCLTECH,EQ,1592.6,-1.08,432178.3,33.43,532.34
M&M,EQ,3580,0.22,445183.32,14.62,521.16
HDFCSILVER,EQ,224.1,-5.9,7512.53,228.37,511.33
CONCORDBIO,EQ,1325.5,13.47,13866.88,38.3,493.63
